geo_type,geo_area_id,geo_area_name,borough_id,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number Tested,Children under 6 years with elevated blood lead levels (BLL) Number Tested _NOTES,"Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested_NOTES"
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2010,262,,25,,5,*Estimate is based on small numbers so should be interpreted with caution.,8000,,32.8,,3.1,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2013,13,,1,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,2200,,5.9,,0.5,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),502,Stapleton - St. George,5,2007,414,,40,,14,,5000,,82.9,,8,,2.8,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2012,260,,29,,15,,11400,,22.8,,2.5,,1.3,
Neighborhood (UHF 42),410,Rockaways,4,2011,128,,13,,6,*Estimate is based on small numbers so should be interpreted with caution.,5400,,23.7,,2.4,,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2006,530,,42,,12,,6200,,85.2,,6.8,,1.9,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2007,628,,47,,19,,7000,,89.9,,6.7,,2.7,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2012,148,,17,,4,*Estimate is based on small numbers so should be interpreted with caution.,8200,,18,,2.1,,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),304,Upper West Side,3,2009,180,,13,,3,*Estimate is based on small numbers so should be interpreted with caution.,5500,,32.9,,2.4,,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),403,Flushing - Clearview,4,2010,241,,23,,7,*Estimate is based on small numbers so should be interpreted with caution.,8400,,28.7,,2.7,,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),402,West Queens,4,2012,529,,93,,40,,23400,,22.6,,4,,1.7,
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2005,153,,12,,1,*Estimate is based on small numbers so should be interpreted with caution.,1800,,85.7,,6.7,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),402,West Queens,4,2010,994,,151,,67,,23200,,42.8,,6.5,,2.9,
Neighborhood (UHF 42),201,Greenpoint,2,2016,216,,29,,8,*Estimate is based on small numbers so should be interpreted with caution.,4200,,51.9,,7,,1.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2006,1251,,62,,16,,11600,,108.2,,5.4,,1.4,
Neighborhood (UHF 42),301,Washington Heights,3,2009,342,,38,,15,,10900,,31.5,,3.5,,1.4,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2009,502,,52,,19,,12400,,40.6,,4.2,,1.5,
Neighborhood (UHF 42),501,Port Richmond,5,2016,65,,10,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,2900,,22.6,,3.5,*Estimate is based on small numbers so should be interpreted with caution.,0.7,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),403,Flushing - Clearview,4,2007,424,,21,,8,*Estimate is based on small numbers so should be interpreted with caution.,7400,,57.6,,2.9,,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,2009,65,,11,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,2600,,25.1,,4.3,*Estimate is based on small numbers so should be interpreted with caution.,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2009,85,,7,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,3300,,25.5,,2.1,*Estimate is based on small numbers so should be interpreted with caution.,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2016,81,,17,,9,*Estimate is based on small numbers so should be interpreted with caution.,6700,,12.1,,2.5,,1.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2013,155,,19,,5,*Estimate is based on small numbers so should be interpreted with caution.,7700,,20.1,,2.5,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Citywide,1,New York City,,2010,13951,,1574,,566,,340900,,40.9,,4.6,,1.7,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2011,129,,5,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,4900,,26.1,,1,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2005,1697,,132,,36,,13000,,130.5,,10.1,,2.8,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2014,37,,7,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,1300,,28.1,,5.3,*Estimate is based on small numbers so should be interpreted with caution.,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2016,188,,26,,7,*Estimate is based on small numbers so should be interpreted with caution.,11100,,16.9,,2.3,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2013,121,,9,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,5900,,20.4,,1.5,*Estimate is based on small numbers so should be interpreted with caution.,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2007,187,,12,,3,*Estimate is based on small numbers so should be interpreted with caution.,5300,,35.2,,2.3,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2007,992,,73,,25,,11700,,84.6,,6.2,,2.1,
Citywide,1,New York City,,2009,15224,,1565,,565,,331800,,45.9,,4.7,,1.7,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2005,701,,46,,17,,7400,,94.9,,6.2,,2.3,
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2006,550,,23,,9,*Estimate is based on small numbers so should be interpreted with caution.,5000,,110.6,,4.6,,1.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2006,154,,10,*Estimate is based on small numbers so should be interpreted with caution.,4,*Estimate is based on small numbers so should be interpreted with caution.,2000,,78.9,,5.1,*Estimate is based on small numbers so should be interpreted with caution.,2.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),205,Sunset Park,2,2013,183,,20,,7,*Estimate is based on small numbers so should be interpreted with caution.,9000,,20.3,,2.2,,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2006,190,,7,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,1500,,129.9,,4.8,*Estimate is based on small numbers so should be interpreted with caution.,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2007,243,,13,,4,*Estimate is based on small numbers so should be interpreted with caution.,3200,,76.6,,4.1,,1.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2006,770,,74,,25,,6600,,117.2,,11.3,,3.8,
Neighborhood (UHF 42),402,West Queens,4,2011,764,,118,,44,,23400,,32.6,,5,,1.9,
Neighborhood (UHF 42),503,Willowbrook,5,2007,88,,4,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,2600,,33.5,,1.5,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),406,Fresh Meadows,4,2006,218,,15,,4,*Estimate is based on small numbers so should be interpreted with caution.,3400,,63.4,,4.4,,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2014,262,,42,,19,,10600,,24.6,,3.9,,1.8,
Neighborhood (UHF 42),407,Southwest Queens,4,2016,216,,41,,17,,11000,,19.7,,3.7,,1.5,
Neighborhood (UHF 42),402,West Queens,4,2008,1448,,152,,53,,23100,,62.6,,6.6,,2.3,
Neighborhood (UHF 42),305,Upper East Side,3,2016,14,,0,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,3900,,3.6,,0,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2008,597,,66,,21,,9400,,63.7,,7,,2.2,
Neighborhood (UHF 42),201,Greenpoint,2,2009,597,,72,,19,,4900,,121.1,,14.6,,3.9,
Neighborhood (UHF 42),205,Sunset Park,2,2014,161,,17,,8,*Estimate is based on small numbers so should be interpreted with caution.,9200,,17.5,,1.9,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),501,Port Richmond,5,2007,337,,33,,17,,3400,,99.5,,9.7,,5,
Neighborhood (UHF 42),406,Fresh Meadows,4,2009,131,,9,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,3800,,34.2,,2.4,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),102,Northeast Bronx,1,2012,130,,23,,12,,6600,,19.7,,3.5,,1.8,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2005,198,,22,,4,*Estimate is based on small numbers so should be interpreted with caution.,2800,,71.9,,8,,1.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2005,892,,60,,16,,6100,,146.2,,9.8,,2.6,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2015,10,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,2200,,4.6,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),310,Lower Manhattan,3,2016,5,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,1600,,3.1,*Estimate is based on small numbers so should be interpreted with caution.,0.6,*Estimate is based on small numbers so should be interpreted with caution.,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2014,281,,48,,18,,12700,,22.2,,3.8,,1.4,
Neighborhood (UHF 42),407,Southwest Queens,4,2010,459,,57,,29,,11700,,39.1,,4.9,,2.5,
Neighborhood (UHF 42),204,East New York,2,2006,1595,,167,,48,,10400,,153.8,,16.1,,4.6,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2012,417,,50,,17,,11200,,37.2,,4.5,,1.5,
Neighborhood (UHF 42),406,Fresh Meadows,4,2010,93,,11,*Estimate is based on small numbers so should be interpreted with caution.,4,*Estimate is based on small numbers so should be interpreted with caution.,3900,,24,,2.8,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),403,Flushing - Clearview,4,2014,119,,17,,4,*Estimate is based on small numbers so should be interpreted with caution.,8800,,13.5,,1.9,,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2016,126,,21,,8,*Estimate is based on small numbers so should be interpreted with caution.,9200,,13.7,,2.3,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2010,249,,22,,6,*Estimate is based on small numbers so should be interpreted with caution.,6300,,39.6,,3.5,,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2005,1544,,112,,33,,11100,,138.6,,10.1,,3,
Neighborhood (UHF 42),204,East New York,2,2009,504,,57,,23,,11200,,45,,5.1,,2.1,
Neighborhood (UHF 42),303,East Harlem,3,2012,63,,7,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,4200,,15.1,,1.7,*Estimate is based on small numbers so should be interpreted with caution.,0.7,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2016,236,,37,,13,,10700,,22.1,,3.5,,1.2,
Neighborhood (UHF 42),301,Washington Heights,3,2013,163,,24,,9,*Estimate is based on small numbers so should be interpreted with caution.,9900,,16.4,,2.4,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),409,Southeast Queens,4,2007,479,,30,,6,*Estimate is based on small numbers so should be interpreted with caution.,6200,,77.6,,4.9,,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2006,2121,,173,,62,,13900,,153,,12.5,,4.5,
Neighborhood (UHF 42),304,Upper West Side,3,2013,62,,4,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,4900,,12.6,,0.8,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2010,284,,52,,17,,7100,,40.1,,7.3,,2.4,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2011,192,,11,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,7900,,24.2,,1.4,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),105,Crotona -Tremont,1,2015,163,,24,,10,*Estimate is based on small numbers so should be interpreted with caution.,10800,,15.1,,2.2,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2007,151,,7,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,1900,,79.2,,3.7,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2009,647,,74,,31,,13900,,46.5,,5.3,,2.2,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2014,144,,18,,3,*Estimate is based on small numbers so should be interpreted with caution.,7400,,19.5,,2.4,,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Citywide,1,New York City,,2012,8179,,1053,,392,,328600,,24.9,,3.2,,1.2,
Neighborhood (UHF 42),303,East Harlem,3,2006,762,,22,,8,*Estimate is based on small numbers so should be interpreted with caution.,4900,,154.2,,4.5,,1.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),310,Lower Manhattan,3,2010,40,,3,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,1600,,25.2,,1.9,*Estimate is based on small numbers so should be interpreted with caution.,1.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2016,30,,3,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,3500,,8.7,,0.9,*Estimate is based on small numbers so should be interpreted with caution.,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2008,65,,5,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,2200,,29.8,,2.3,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2016,28,,7,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,3700,,7.6,,1.9,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),406,Fresh Meadows,4,2016,29,,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,3800,,7.7,,0.3,*Estimate is based on small numbers so should be interpreted with caution.,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),205,Sunset Park,2,2007,662,,47,,15,,6700,,98.3,,7,,2.2,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2009,239,,23,,9,*Estimate is based on small numbers so should be interpreted with caution.,8200,,29.3,,2.8,,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2005,167,,15,,4,*Estimate is based on small numbers so should be interpreted with caution.,5000,,33.3,,3,,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2012,163,,34,,10,*Estimate is based on small numbers so should be interpreted with caution.,6900,,23.5,,4.9,,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),304,Upper West Side,3,2006,422,,16,,6,*Estimate is based on small numbers so should be interpreted with caution.,5500,,76.6,,2.9,,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2012,37,,4,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,2100,,17.4,,1.9,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2010,172,,15,,4,*Estimate is based on small numbers so should be interpreted with caution.,4900,,34.8,,3,,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2008,484,,30,,15,,8300,,58.5,,3.6,,1.8,
Neighborhood (UHF 42),502,Stapleton - St. George,5,2013,102,,14,,4,*Estimate is based on small numbers so should be interpreted with caution.,4800,,21.2,,2.9,,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2013,37,,3,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,1500,,24.6,,2,*Estimate is based on small numbers so should be interpreted with caution.,0.7,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2012,82,,11,*Estimate is based on small numbers so should be interpreted with caution.,5,*Estimate is based on small numbers so should be interpreted with caution.,4600,,17.9,,2.4,*Estimate is based on small numbers so should be interpreted with caution.,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2006,776,,42,,15,,6300,,124,,6.7,,2.4,
Neighborhood (UHF 42),303,East Harlem,3,2008,271,,21,,5,*Estimate is based on small numbers so should be interpreted with caution.,4600,,58.9,,4.6,,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2014,167,,35,,11,*Estimate is based on small numbers so should be interpreted with caution.,7300,,22.8,,4.8,,1.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),309,Union Square - Lower East Side,3,2014,59,,8,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,3900,,15.1,,2,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),403,Flushing - Clearview,4,2013,111,,15,,3,*Estimate is based on small numbers so should be interpreted with caution.,8700,,12.8,,1.7,,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2015,13,,2,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,1900,,6.7,,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2012,24,,2,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,4100,,5.9,,0.5,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),502,Stapleton - St. George,5,2012,97,,19,,7,*Estimate is based on small numbers so should be interpreted with caution.,4800,,20.1,,3.9,,1.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),310,Lower Manhattan,3,2006,66,,5,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,800,,80.5,,6.1,*Estimate is based on small numbers so should be interpreted with caution.,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2005,209,,13,,3,*Estimate is based on small numbers so should be interpreted with caution.,1400,,150.5,,9.4,,2.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2009,457,,34,,11,*Estimate is based on small numbers so should be interpreted with caution.,12200,,37.4,,2.8,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,2010,37,,5,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,2600,,14.1,,1.9,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),408,Jamaica,4,2005,1331,,128,,49,,12300,,108.2,,10.4,,4,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2006,681,,70,,36,,7000,,97.8,,10.1,,5.2,
Neighborhood (UHF 42),206,Borough Park,2,2011,1061,,121,,35,,17000,,62.4,,7.1,,2.1,
Neighborhood (UHF 42),303,East Harlem,3,2013,60,,10,*Estimate is based on small numbers so should be interpreted with caution.,7,*Estimate is based on small numbers so should be interpreted with caution.,3900,,15.2,,2.5,*Estimate is based on small numbers so should be interpreted with caution.,1.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2014,222,,33,,10,*Estimate is based on small numbers so should be interpreted with caution.,11500,,19.3,,2.9,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2007,863,,71,,28,,9100,,95.3,,7.8,,3.1,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2011,61,,7,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,3400,,18.1,,2.1,*Estimate is based on small numbers so should be interpreted with caution.,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2015,115,,16,,6,*Estimate is based on small numbers so should be interpreted with caution.,6800,,16.9,,2.4,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2010,516,,54,,23,,12300,,42,,4.4,,1.9,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2015,84,,13,,2,*Estimate is based on small numbers so should be interpreted with caution.,7200,,11.7,,1.8,,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),402,West Queens,4,2006,2336,,206,,80,,21200,,110.1,,9.7,,3.8,
Neighborhood (UHF 42),301,Washington Heights,3,2014,144,,22,,6,*Estimate is based on small numbers so should be interpreted with caution.,9500,,15.1,,2.3,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2015,28,,0,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,1500,,19.2,,0,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2009,63,,7,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,2200,,28.6,,3.2,*Estimate is based on small numbers so should be interpreted with caution.,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2007,617,,42,,13,,6200,,98.9,,6.7,,2.1,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2006,182,,16,,3,*Estimate is based on small numbers so should be interpreted with caution.,5200,,35.3,,3.1,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2008,474,,42,,11,*Estimate is based on small numbers so should be interpreted with caution.,8800,,53.7,,4.8,,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),408,Jamaica,4,2006,1146,,120,,40,,12300,,93,,9.7,,3.2,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2013,30,,4,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,3300,,9,,1.2,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2015,264,,37,,10,*Estimate is based on small numbers so should be interpreted with caution.,11500,,23,,3.2,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2012,348,,52,,22,,12900,,27,,4,,1.7,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2010,405,,53,,17,,12300,,32.8,,4.3,,1.4,
Neighborhood (UHF 42),301,Washington Heights,3,2012,179,,24,,13,,10600,,16.9,,2.3,,1.2,
Neighborhood (UHF 42),306,Chelsea - Clinton,3,2014,24,,1,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,1700,,14.4,,0.6,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Citywide,1,New York City,,2013,7204,,910,,325,,322900,,22.3,,2.8,,1,
