geo_type,geo_area_id,geo_area_name,borough_id,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number Tested,Children under 6 years with elevated blood lead levels (BLL) Number Tested _NOTES,"Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested_NOTES"
Neighborhood (UHF 42),205,Sunset Park,2,2016,111,,16,,6,*Estimate is based on small numbers so should be interpreted with caution.,9200,,12.1,,1.7,,0.7,*Estimate is based on small numbers so should be interpreted with caution.
Citywide,1,New York City,,2011,11437,,1332,,447,,342900,,33.4,,3.9,,1.3,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2007,1093,,99,,22,,12100,,90.5,,8.2,,1.8,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2014,97,,8,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,7300,,13.3,,1.1,*Estimate is based on small numbers so should be interpreted with caution.,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),102,Northeast Bronx,1,2014,115,,21,,9,*Estimate is based on small numbers so should be interpreted with caution.,6200,,18.6,,3.4,,1.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2008,327,,42,,16,,6400,,50.7,,6.5,,2.5,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2014,200,,32,,14,,11200,,17.8,,2.9,,1.2,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2011,149,,13,,7,*Estimate is based on small numbers so should be interpreted with caution.,8200,,18.1,,1.6,,0.9,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),409,Southeast Queens,4,2009,289,,29,,9,*Estimate is based on small numbers so should be interpreted with caution.,6600,,43.6,,4.4,,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Citywide,1,New York City,,2005,37344,,3082,,1014,,310100,,120.4,,9.9,,3.3,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2005,1035,,79,,25,,8900,,115.7,,8.8,,2.8,
Neighborhood (UHF 42),201,Greenpoint,2,2013,329,,31,,11,*Estimate is based on small numbers so should be interpreted with caution.,4500,,73.6,,6.9,,2.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2009,369,,47,,16,,8800,,42.1,,5.4,,1.8,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2013,28,,3,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,4200,,6.6,,0.7,*Estimate is based on small numbers so should be interpreted with caution.,0.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),105,Crotona -Tremont,1,2009,486,,55,,20,,12100,,40.3,,4.6,,1.7,
Neighborhood (UHF 42),304,Upper West Side,3,2011,71,,12,,7,*Estimate is based on small numbers so should be interpreted with caution.,5100,,13.9,,2.4,,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2015,83,,13,,4,*Estimate is based on small numbers so should be interpreted with caution.,7100,,11.7,,1.8,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),305,Upper East Side,3,2009,110,,7,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,4300,,25.6,,1.6,*Estimate is based on small numbers so should be interpreted with caution.,0.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),201,Greenpoint,2,2012,394,,47,,10,*Estimate is based on small numbers so should be interpreted with caution.,4900,,80.9,,9.7,,2.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,3,2016,6,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,1800,,3.4,*Estimate is based on small numbers so should be interpreted with caution.,0.6,*Estimate is based on small numbers so should be interpreted with caution.,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,2013,22,,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,2300,,9.5,,0.4,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),206,Borough Park,2,2008,1302,,152,,51,,13500,,96.8,,11.3,,3.8,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2012,129,,13,,3,*Estimate is based on small numbers so should be interpreted with caution.,7400,,17.4,,1.7,,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),303,East Harlem,3,2010,144,,19,,9,*Estimate is based on small numbers so should be interpreted with caution.,4500,,32.4,,4.3,,2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2013,137,,15,,5,*Estimate is based on small numbers so should be interpreted with caution.,6800,,20.3,,2.2,,0.7,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),409,Southeast Queens,4,2015,86,,18,,7,*Estimate is based on small numbers so should be interpreted with caution.,6100,,14,,2.9,,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),105,Crotona -Tremont,1,2006,1337,,103,,19,,11900,,111.9,,8.6,,1.6,
Neighborhood (UHF 42),106,High Bridge - Morrisania,1,2006,1441,,89,,28,,12100,,119,,7.4,,2.3,
Neighborhood (UHF 42),402,West Queens,4,2009,1035,,126,,42,,23300,,44.4,,5.4,,1.8,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2014,191,,28,,12,,10900,,17.5,,2.6,,1.1,
Neighborhood (UHF 42),501,Port Richmond,5,2013,105,,12,,4,*Estimate is based on small numbers so should be interpreted with caution.,3300,,32.1,,3.7,,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),408,Jamaica,4,2012,330,,41,,17,,13600,,24.3,,3,,1.3,
Neighborhood (UHF 42),201,Greenpoint,2,2006,786,,78,,23,,4600,,169.3,,16.8,,5,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2016,179,,34,,12,,8500,,21.2,,4,,1.4,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2007,628,,35,,9,*Estimate is based on small numbers so should be interpreted with caution.,7300,,86,,4.8,,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2007,699,,58,,19,,6700,,105.1,,8.7,,2.9,
Neighborhood (UHF 42),410,Rockaways,4,2010,202,,18,,6,*Estimate is based on small numbers so should be interpreted with caution.,5400,,37.6,,3.3,,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),310,Lower Manhattan,3,2015,8,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,1500,,5.2,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),406,Fresh Meadows,4,2005,204,,14,,7,*Estimate is based on small numbers so should be interpreted with caution.,3400,,60.1,,4.1,,2.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2,2008,1237,,103,,42,,15300,,81,,6.7,,2.8,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2009,272,,23,,6,*Estimate is based on small numbers so should be interpreted with caution.,7500,,36.1,,3.1,,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2016,131,,33,,13,,7600,,17.2,,4.3,,1.7,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2010,701,,86,,27,,12200,,57.7,,7.1,,2.2,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2005,500,,52,,21,,5900,,84.3,,8.8,,3.5,
Neighborhood (UHF 42),301,Washington Heights,3,2010,297,,36,,14,,11000,,27.1,,3.3,,1.3,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2011,50,,6,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,1700,,29.6,,3.6,*Estimate is based on small numbers so should be interpreted with caution.,1.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),204,East New York,2,2015,193,,41,,14,,10200,,18.8,,4,,1.4,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2006,455,,33,,10,*Estimate is based on small numbers so should be interpreted with caution.,7000,,64.6,,4.7,,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),303,East Harlem,3,2009,158,,15,,6,*Estimate is based on small numbers so should be interpreted with caution.,4500,,35.1,,3.3,,1.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),502,Stapleton - St. George,5,2011,129,,14,,6,*Estimate is based on small numbers so should be interpreted with caution.,4900,,26.4,,2.9,,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2015,212,,38,,15,,11500,,18.5,,3.3,,1.3,
Neighborhood (UHF 42),207,East Flatbush - Flatbush,2,2011,670,,69,,26,,14500,,46.1,,4.7,,1.8,
Neighborhood (UHF 42),501,Port Richmond,5,2011,112,,20,,5,*Estimate is based on small numbers so should be interpreted with caution.,3500,,31.6,,5.6,,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),303,East Harlem,3,2011,116,,12,,6,*Estimate is based on small numbers so should be interpreted with caution.,4400,,26.2,,2.7,,1.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2013,120,,9,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,7300,,16.4,,1.2,*Estimate is based on small numbers so should be interpreted with caution.,0.3,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),201,Greenpoint,2,2007,864,,94,,19,,4700,,182.8,,19.9,,4,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2014,26,,2,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,4100,,6.3,,0.5,*Estimate is based on small numbers so should be interpreted with caution.,0.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),410,Rockaways,4,2009,164,,15,,8,*Estimate is based on small numbers so should be interpreted with caution.,5100,,32.2,,2.9,,1.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2007,86,,5,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,2000,,43.5,,2.5,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2015,147,,21,,9,*Estimate is based on small numbers so should be interpreted with caution.,9500,,15.5,,2.2,,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),409,Southeast Queens,4,2010,247,,17,,4,*Estimate is based on small numbers so should be interpreted with caution.,6600,,37.3,,2.6,,0.6,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2009,82,,6,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,1500,,55.6,,4.1,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),301,Washington Heights,3,2007,948,,57,,17,,11100,,85.2,,5.1,,1.5,
Neighborhood (UHF 42),305,Upper East Side,3,2005,256,,8,*Estimate is based on small numbers so should be interpreted with caution.,5,*Estimate is based on small numbers so should be interpreted with caution.,4800,,53.4,,1.7,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),303,East Harlem,3,2014,66,,7,*Estimate is based on small numbers so should be interpreted with caution.,4,*Estimate is based on small numbers so should be interpreted with caution.,3800,,17.5,,1.9,*Estimate is based on small numbers so should be interpreted with caution.,1.1,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2007,652,,47,,21,,8100,,80.4,,5.8,,2.6,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2009,281,,34,,19,,6600,,42.3,,5.1,,2.9,
Neighborhood (UHF 42),206,Borough Park,2,2007,1566,,138,,57,,12000,,130.2,,11.5,,4.7,
Neighborhood (UHF 42),402,West Queens,4,2014,473,,74,,17,,22400,,21.1,,3.3,,0.8,
Neighborhood (UHF 42),204,East New York,2,2008,742,,68,,24,,10800,,68.5,,6.3,,2.2,
Neighborhood (UHF 42),407,Southwest Queens,4,2005,1213,,123,,39,,10400,,116.9,,11.9,,3.8,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2011,29,,3,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,2200,,13.2,,1.4,*Estimate is based on small numbers so should be interpreted with caution.,0.5,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),305,Upper East Side,3,2007,243,,13,,2,*Estimate is based on small numbers so should be interpreted with caution.,4800,,50.6,,2.7,,0.4,*Estimate is based on small numbers so should be interpreted with caution.
